Top queries,Clicks,Impressions,CTR,Position
barbara ledermann,43,424,0.1014,1.55
the final solution,43,264,0.1629,2.63
bayer experiments,43,152,0.2829,1.91
juden ghetto,43,71,0.6056,1.13
holocaust timeline,43,60,0.7167,1.53
the night of broken glass,43,59,0.7288,2.05
nazi germany,42,19344,0.0022,7.24
hermann göring,42,13220,0.0032,17.38
wie viele konzentrationslager gab es,42,1872,0.0224,5.0
lvov,42,1837,0.0229,7.54
kristallnacht bedeutung,42,565,0.0743,2.15
holocaust leugnen,42,531,0.0791,4.13
nichtangriffspakt stalin,42,169,0.2485,3.05
holocaust opferzahl,42,130,0.3231,3.84
gründe für den aufstieg der nsdap,42,113,0.3717,3.2
wie viele tote holocaust,42,105,0.4,3.3
фото гитлера в париже,42,94,0.4468,1.0
wie lange ging der holocaust,42,79,0.5316,1.54
noite dos cristais,42,74,0.5676,2.57
mengele arzt experimente,42,65,0.6462,1.83
how many people killed hitler,42,59,0.7119,1.0
erster weltkrieg,41,4251,0.0096,4.31
jürgen stroop,41,2495,0.0164,5.31
kz tote 2. weltkrieg,41,460,0.0891,6.17
nsdap propaganda,41,183,0.224,4.23
zegota,41,168,0.244,2.32
речь гитлера,41,149,0.2752,4.83
wie viele juden wurden im zweiten weltkrieg getötet,41,127,0.3228,2.69
how many people died at dachau,41,92,0.4457,1.95
holocaust opfer anzahl,41,75,0.5467,2.67
propaganda gegen juden,41,65,0.6308,1.0
arier ns,41,54,0.7593,1.04
was ist ns sexualität,40,12843,0.0031,6.32
theresienstadt,40,3930,0.0102,10.34
лесбиянки,40,2038,0.0196,11.34
ikinci dünya savaşı ne zaman başladı,40,781,0.0512,2.08
расист,40,723,0.0553,2.76
mengele zwillinge,40,692,0.0578,6.13
wie viele juden starben im zweiten weltkrieg insgesamt,40,157,0.2548,1.81
hitlers propaganda,40,120,0.3333,2.98
was ist ein vernichtungslager,40,110,0.3636,3.14
how did hitler rise to power,40,100,0.4,3.42
wann wurden juden vergast,40,84,0.4762,1.2
карта германии до 1939 года,40,80,0.5,1.0
jüdische ghettos,40,79,0.5063,1.82
участники первой мировой войны,40,78,0.5128,1.0
